run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
primary,fresh_ground_truth,low_to_high,101,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,low_to_high,101,20,5,1,5,0.4375,0.08333333,0.0,8,4,4,5275,1
primary,prose_summary,low_to_high,101,20,5,1,5,0.5,0.41666667,0.83333333,10,4,2,5294,1
primary,receipt_ancestry,low_to_high,101,20,5,1,5,0.58333333,0.33333333,0.5,6,4,3,5659,1
primary,fresh_ground_truth,high_to_low,101,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,high_to_low,101,20,5,1,5,0.45833333,0.16666667,0.0,14,4,4,5454,1
primary,prose_summary,high_to_low,101,20,2,1,2,0.58333333,0.91666667,0.83333333,11,4,2,5294,0
primary,receipt_ancestry,high_to_low,101,20,2,1,2,0.52083333,0.66666667,0.66666667,12,4,3,5691,1
primary,fresh_ground_truth,alternating,101,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,alternating,101,20,3,1,3,0.47916667,0.08333333,0.0,18,4,4,5400,1
primary,prose_summary,alternating,101,20,3,1,3,0.41666667,0.5,0.66666667,12,4,2,5294,1
primary,receipt_ancestry,alternating,101,20,5,1,5,0.5625,0.5,0.66666667,13,4,3,5688,1
primary,fresh_ground_truth,randomized,101,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,randomized,101,20,2,1,2,0.3125,0.08333333,0.0,19,4,4,5393,1
primary,prose_summary,randomized,101,20,2,1,2,0.4375,0.75,0.66666667,17,4,2,5294,1
primary,receipt_ancestry,randomized,101,20,4,1,4,0.66666667,0.66666667,0.66666667,12,4,3,5686,1
primary,fresh_ground_truth,low_to_high,202,20,21,0,,1.0,1.0,1.0,0,0,0,5790,0
primary,persistent_history,low_to_high,202,20,11,1,11,0.875,0.66666667,0.33333333,5,2,1,5195,1
primary,prose_summary,low_to_high,202,20,6,1,6,0.75,0.75,0.66666667,12,4,2,5274,1
primary,receipt_ancestry,low_to_high,202,20,10,1,10,0.8125,0.83333333,0.83333333,5,3,3,5655,1
primary,fresh_ground_truth,high_to_low,202,20,21,0,,1.0,1.0,1.0,0,0,0,5790,0
primary,persistent_history,high_to_low,202,20,4,1,4,0.8125,0.66666667,0.5,11,3,2,5424,1
primary,prose_summary,high_to_low,202,20,4,1,4,0.72916667,0.5,0.33333333,15,4,2,5274,0
primary,receipt_ancestry,high_to_low,202,20,1,1,1,0.75,1.0,1.0,9,3,2,5671,1
primary,fresh_ground_truth,alternating,202,20,21,0,,1.0,1.0,1.0,0,0,0,5790,0
primary,persistent_history,alternating,202,20,6,1,6,0.625,0.5,0.16666667,15,3,2,5350,1
primary,prose_summary,alternating,202,20,3,1,3,0.72916667,0.91666667,0.83333333,16,4,2,5274,1
primary,receipt_ancestry,alternating,202,20,1,1,1,0.75,0.58333333,0.5,12,4,3,5661,1
primary,fresh_ground_truth,randomized,202,20,21,0,,1.0,1.0,1.0,0,0,0,5790,0
primary,persistent_history,randomized,202,20,5,1,5,0.75,0.58333333,0.33333333,13,4,3,5357,1
primary,prose_summary,randomized,202,20,5,1,5,0.72916667,0.66666667,0.66666667,11,4,2,5274,0
primary,receipt_ancestry,randomized,202,20,7,1,7,0.83333333,0.75,0.83333333,6,4,3,5680,1
primary,fresh_ground_truth,low_to_high,303,20,21,0,,1.0,1.0,1.0,0,0,0,5860,0
primary,persistent_history,low_to_high,303,20,5,1,5,0.66666667,0.33333333,0.16666667,12,4,2,5355,1
primary,prose_summary,low_to_high,303,20,5,1,5,0.54166667,0.66666667,0.66666667,12,4,2,5344,1
primary,receipt_ancestry,low_to_high,303,20,11,1,11,0.91666667,0.83333333,1.0,2,2,2,5709,1
primary,fresh_ground_truth,high_to_low,303,20,21,0,,1.0,1.0,1.0,0,0,0,5860,0
primary,persistent_history,high_to_low,303,20,3,1,3,0.45833333,0.25,0.16666667,18,4,2,5504,1
primary,prose_summary,high_to_low,303,20,2,1,2,0.58333333,0.75,0.83333333,13,4,2,5344,1
primary,receipt_ancestry,high_to_low,303,20,2,1,2,0.77083333,0.66666667,1.0,6,3,3,5741,1
primary,fresh_ground_truth,alternating,303,20,21,0,,1.0,1.0,1.0,0,0,0,5860,0
primary,persistent_history,alternating,303,20,2,1,2,0.58333333,0.5,0.33333333,16,4,2,5450,1
primary,prose_summary,alternating,303,20,2,1,2,0.54166667,0.33333333,0.66666667,18,4,2,5344,1
primary,receipt_ancestry,alternating,303,20,15,1,15,0.89583333,0.83333333,1.0,0,2,2,5738,1
primary,fresh_ground_truth,randomized,303,20,21,0,,1.0,1.0,1.0,0,0,0,5860,0
primary,persistent_history,randomized,303,20,6,1,6,0.60416667,0.33333333,0.5,15,3,1,5417,1
primary,prose_summary,randomized,303,20,2,1,2,0.4375,0.83333333,1.0,13,4,2,5344,1
primary,receipt_ancestry,randomized,303,20,15,1,15,0.91666667,1.0,1.0,1,1,1,5726,1
primary,fresh_ground_truth,low_to_high,404,20,16,1,16,1.0,1.0,1.0,1,0,0,5800,1
primary,persistent_history,low_to_high,404,20,10,1,10,0.58333333,0.08333333,0.0,6,3,3,5205,1
primary,prose_summary,low_to_high,404,20,5,1,5,0.47916667,0.25,0.5,12,4,1,5284,1
primary,receipt_ancestry,low_to_high,404,20,9,1,9,0.64583333,0.5,0.66666667,8,4,3,5642,1
primary,fresh_ground_truth,high_to_low,404,20,3,1,3,1.0,1.0,1.0,1,0,0,5800,1
primary,persistent_history,high_to_low,404,20,7,1,7,0.625,0.16666667,0.16666667,14,3,2,5424,1
primary,prose_summary,high_to_low,404,20,2,1,2,0.5625,0.5,0.5,19,4,1,5284,0
primary,receipt_ancestry,high_to_low,404,20,2,1,2,0.6875,0.91666667,0.83333333,9,4,3,5695,1
primary,fresh_ground_truth,alternating,404,20,9,1,9,1.0,1.0,1.0,1,0,0,5800,1
primary,persistent_history,alternating,404,20,5,1,5,0.66666667,0.08333333,0.0,11,3,3,5360,1
primary,prose_summary,alternating,404,20,5,1,5,0.54166667,0.58333333,0.5,14,4,1,5284,0
primary,receipt_ancestry,alternating,404,20,5,1,5,0.70833333,0.66666667,0.66666667,11,4,3,5678,1
primary,fresh_ground_truth,randomized,404,20,3,1,3,1.0,1.0,1.0,1,0,0,5800,1
primary,persistent_history,randomized,404,20,11,1,11,0.64583333,0.25,0.33333333,10,3,3,5285,1
primary,prose_summary,randomized,404,20,3,1,3,0.5625,0.41666667,0.5,13,4,1,5284,0
primary,receipt_ancestry,randomized,404,20,3,1,3,0.66666667,0.58333333,0.5,16,4,3,5644,1
primary,fresh_ground_truth,low_to_high,505,20,17,1,17,1.0,1.0,1.0,1,0,0,5830,1
primary,persistent_history,low_to_high,505,20,8,1,8,0.58333333,0.08333333,0.0,13,3,2,5255,1
primary,prose_summary,low_to_high,505,20,5,1,5,0.66666667,0.41666667,0.5,7,4,3,5314,1
primary,receipt_ancestry,low_to_high,505,20,4,1,4,0.60416667,0.5,0.66666667,13,4,3,5688,1
primary,fresh_ground_truth,high_to_low,505,20,21,0,,1.0,1.0,1.0,0,0,0,5830,0
primary,persistent_history,high_to_low,505,20,3,1,3,0.625,0.41666667,0.33333333,18,4,1,5464,1
primary,prose_summary,high_to_low,505,20,2,1,2,0.625,0.83333333,0.83333333,11,4,3,5314,1
primary,receipt_ancestry,high_to_low,505,20,10,1,10,0.70833333,0.5,0.5,6,3,2,5718,1
primary,fresh_ground_truth,alternating,505,20,21,0,,1.0,1.0,1.0,0,0,0,5830,0
primary,persistent_history,alternating,505,20,9,1,9,0.58333333,0.16666667,0.0,12,3,2,5390,1
primary,prose_summary,alternating,505,20,3,1,3,0.58333333,0.75,0.83333333,11,4,3,5314,1
primary,receipt_ancestry,alternating,505,20,4,1,4,0.66666667,0.58333333,0.66666667,10,4,3,5701,1
primary,fresh_ground_truth,randomized,505,20,16,1,16,1.0,1.0,1.0,1,0,0,5830,1
primary,persistent_history,randomized,505,20,10,1,10,0.66666667,0.58333333,0.33333333,11,3,2,5379,1
primary,prose_summary,randomized,505,20,3,1,3,0.52083333,0.5,0.5,17,4,3,5314,1
primary,receipt_ancestry,randomized,505,20,3,1,3,0.72916667,0.91666667,1.0,15,4,3,5698,1
primary,fresh_ground_truth,low_to_high,606,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,low_to_high,606,20,10,1,10,0.66666667,0.16666667,0.0,11,3,1,5225,1
primary,prose_summary,low_to_high,606,20,2,1,2,0.45833333,0.25,0.0,16,4,3,5284,1
primary,receipt_ancestry,low_to_high,606,20,10,1,10,0.85416667,0.83333333,1.0,1,3,3,5649,1
primary,fresh_ground_truth,high_to_low,606,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,high_to_low,606,20,3,1,3,0.5625,0.58333333,0.5,18,4,1,5394,1
primary,prose_summary,high_to_low,606,20,3,1,3,0.375,0.33333333,0.33333333,17,4,3,5284,0
primary,receipt_ancestry,high_to_low,606,20,10,1,10,0.85416667,0.75,0.83333333,2,3,3,5695,1
primary,fresh_ground_truth,alternating,606,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,alternating,606,20,5,1,5,0.5625,0.25,0.16666667,12,4,1,5340,1
primary,prose_summary,alternating,606,20,4,1,4,0.47916667,0.25,0.16666667,16,4,3,5284,1
primary,receipt_ancestry,alternating,606,20,10,1,10,0.8125,0.66666667,1.0,2,3,3,5678,1
primary,fresh_ground_truth,randomized,606,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,randomized,606,20,5,1,5,0.625,0.41666667,0.33333333,16,4,1,5416,1
primary,prose_summary,randomized,606,20,3,1,3,0.54166667,0.25,0.0,10,4,3,5284,0
primary,receipt_ancestry,randomized,606,20,5,1,5,0.77083333,0.5,0.83333333,9,4,3,5678,1
primary,fresh_ground_truth,low_to_high,707,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,low_to_high,707,20,10,1,10,0.5625,0.33333333,0.33333333,8,3,0,5265,1
primary,prose_summary,low_to_high,707,20,5,1,5,0.54166667,0.33333333,0.33333333,10,4,3,5304,1
primary,receipt_ancestry,low_to_high,707,20,14,1,14,0.875,0.66666667,0.83333333,5,2,2,5671,1
primary,fresh_ground_truth,high_to_low,707,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,high_to_low,707,20,5,1,5,0.58333333,0.33333333,0.33333333,15,4,1,5414,1
primary,prose_summary,high_to_low,707,20,1,1,1,0.58333333,0.41666667,0.33333333,17,4,3,5304,0
primary,receipt_ancestry,high_to_low,707,20,5,1,5,0.875,0.66666667,0.83333333,4,2,2,5701,1
primary,fresh_ground_truth,alternating,707,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,alternating,707,20,11,1,11,0.6875,0.33333333,0.33333333,9,3,0,5340,1
primary,prose_summary,alternating,707,20,1,1,1,0.54166667,0.41666667,0.5,14,4,3,5304,0
primary,receipt_ancestry,alternating,707,20,17,1,17,0.95833333,0.83333333,0.83333333,4,1,1,5698,1
primary,fresh_ground_truth,randomized,707,20,20,1,20,0.9375,0.75,0.83333333,0,1,1,5820,1
primary,persistent_history,randomized,707,20,5,1,5,0.60416667,0.41666667,0.33333333,15,4,1,5416,1
primary,prose_summary,randomized,707,20,4,1,4,0.5625,0.25,0.16666667,15,4,3,5304,0
primary,receipt_ancestry,randomized,707,20,11,1,11,0.89583333,1.0,1.0,8,2,2,5695,1
primary,fresh_ground_truth,low_to_high,808,20,10,1,10,0.95833333,1.0,1.0,2,1,1,5810,1
primary,persistent_history,low_to_high,808,20,5,1,5,0.52083333,0.25,0.16666667,11,4,4,5215,1
primary,prose_summary,low_to_high,808,20,3,1,3,0.58333333,0.75,0.5,12,4,4,5294,1
primary,receipt_ancestry,low_to_high,808,20,6,1,6,0.77083333,0.91666667,1.0,9,3,3,5654,1
primary,fresh_ground_truth,high_to_low,808,20,1,1,1,0.95833333,1.0,1.0,2,1,1,5810,1
primary,persistent_history,high_to_low,808,20,10,1,10,0.60416667,0.33333333,0.16666667,9,3,3,5424,1
primary,prose_summary,high_to_low,808,20,1,1,1,0.5,0.58333333,0.66666667,17,4,4,5294,0
primary,receipt_ancestry,high_to_low,808,20,8,1,8,0.75,0.5,0.83333333,7,3,3,5698,1
primary,fresh_ground_truth,alternating,808,20,1,1,1,1.0,1.0,1.0,2,0,0,5810,1
primary,persistent_history,alternating,808,20,11,1,11,0.64583333,0.08333333,0.16666667,10,3,3,5330,1
primary,prose_summary,alternating,808,20,1,1,1,0.60416667,0.66666667,0.66666667,19,4,4,5294,0
primary,receipt_ancestry,alternating,808,20,12,1,12,0.83333333,0.91666667,1.0,5,2,2,5674,1
primary,fresh_ground_truth,randomized,808,20,9,1,9,0.95833333,1.0,1.0,2,1,1,5810,1
primary,persistent_history,randomized,808,20,10,1,10,0.64583333,0.25,0.16666667,8,3,3,5346,1
primary,prose_summary,randomized,808,20,2,1,2,0.58333333,0.58333333,0.83333333,14,4,4,5294,1
primary,receipt_ancestry,randomized,808,20,4,1,4,0.70833333,0.75,1.0,12,4,3,5666,1
primary,fresh_ground_truth,low_to_high,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,low_to_high,909,20,6,1,6,0.70833333,0.66666667,0.5,12,4,3,5255,1
primary,prose_summary,low_to_high,909,20,5,1,5,0.66666667,0.58333333,0.0,16,4,1,5284,1
primary,receipt_ancestry,low_to_high,909,20,9,1,9,0.83333333,1.0,1.0,4,3,2,5649,1
primary,fresh_ground_truth,high_to_low,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,high_to_low,909,20,8,1,8,0.75,0.41666667,0.33333333,10,3,2,5424,1
primary,prose_summary,high_to_low,909,20,2,1,2,0.5625,0.5,0.0,19,4,1,5284,0
primary,receipt_ancestry,high_to_low,909,20,2,1,2,0.75,0.75,0.83333333,14,4,3,5681,1
primary,fresh_ground_truth,alternating,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,alternating,909,20,5,1,5,0.6875,0.58333333,0.5,15,4,3,5370,1
primary,prose_summary,alternating,909,20,5,1,5,0.54166667,0.5,0.0,16,4,1,5284,0
primary,receipt_ancestry,alternating,909,20,5,1,5,0.83333333,0.75,0.83333333,11,3,2,5671,1
primary,fresh_ground_truth,randomized,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,randomized,909,20,1,1,1,0.60416667,0.41666667,0.33333333,17,4,3,5385,1
primary,prose_summary,randomized,909,20,2,1,2,0.625,0.5,0.0,18,4,1,5284,0
primary,receipt_ancestry,randomized,909,20,10,1,10,0.875,1.0,1.0,7,3,2,5688,1
primary,fresh_ground_truth,low_to_high,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,low_to_high,1010,20,10,1,10,0.72916667,0.5,0.33333333,10,3,2,5225,1
primary,prose_summary,low_to_high,1010,20,9,1,9,0.5625,0.25,0.16666667,12,4,2,5304,1
primary,receipt_ancestry,low_to_high,1010,20,5,1,5,0.47916667,0.41666667,0.66666667,12,4,3,5662,1
primary,fresh_ground_truth,high_to_low,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,high_to_low,1010,20,7,1,7,0.60416667,0.16666667,0.0,14,3,1,5434,1
primary,prose_summary,high_to_low,1010,20,1,1,1,0.4375,0.33333333,0.33333333,19,4,2,5304,0
primary,receipt_ancestry,high_to_low,1010,20,3,1,3,0.5625,0.66666667,0.66666667,13,4,3,5701,1
primary,fresh_ground_truth,alternating,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,alternating,1010,20,15,1,15,0.79166667,0.33333333,0.16666667,5,2,1,5340,1
primary,prose_summary,alternating,1010,20,1,1,1,0.47916667,0.08333333,0.16666667,17,4,2,5304,0
primary,receipt_ancestry,alternating,1010,20,9,1,9,0.625,0.25,0.5,8,3,3,5677,1
primary,fresh_ground_truth,randomized,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,randomized,1010,20,4,1,4,0.5625,0.08333333,0.0,17,4,1,5399,1
primary,prose_summary,randomized,1010,20,2,1,2,0.5,0.5,0.16666667,19,4,2,5304,1
primary,receipt_ancestry,randomized,1010,20,1,1,1,0.5625,0.5,0.83333333,12,4,3,5686,1
primary,fresh_ground_truth,low_to_high,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,low_to_high,1111,20,5,1,5,0.35416667,0.08333333,0.0,16,4,1,5225,1
primary,prose_summary,low_to_high,1111,20,5,1,5,0.54166667,0.41666667,0.33333333,11,4,4,5294,1
primary,receipt_ancestry,low_to_high,1111,20,5,1,5,0.64583333,0.58333333,1.0,8,4,3,5659,1
primary,fresh_ground_truth,high_to_low,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,high_to_low,1111,20,3,1,3,0.29166667,0.16666667,0.0,18,4,0,5434,1
primary,prose_summary,high_to_low,1111,20,3,1,3,0.60416667,0.83333333,1.0,12,4,4,5294,0
primary,receipt_ancestry,high_to_low,1111,20,2,1,2,0.75,0.83333333,1.0,10,4,3,5691,1
primary,fresh_ground_truth,alternating,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,alternating,1111,20,5,1,5,0.45833333,0.08333333,0.0,12,4,1,5370,1
primary,prose_summary,alternating,1111,20,5,1,5,0.58333333,0.5,0.5,9,4,4,5294,0
primary,receipt_ancestry,alternating,1111,20,5,1,5,0.70833333,0.5,0.83333333,4,4,3,5688,1
primary,fresh_ground_truth,randomized,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,randomized,1111,20,2,1,2,0.4375,0.08333333,0.0,19,4,1,5325,1
primary,prose_summary,randomized,1111,20,1,1,1,0.58333333,0.41666667,0.66666667,15,4,4,5294,0
primary,receipt_ancestry,randomized,1111,20,10,1,10,0.72916667,0.33333333,0.66666667,8,3,2,5681,1
primary,fresh_ground_truth,low_to_high,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,low_to_high,1212,20,12,1,12,0.85416667,0.75,0.5,4,2,1,5185,1
primary,prose_summary,low_to_high,1212,20,5,1,5,0.6875,0.58333333,0.16666667,9,4,3,5264,1
primary,receipt_ancestry,low_to_high,1212,20,10,1,10,0.8125,0.75,0.5,8,4,3,5636,1
primary,fresh_ground_truth,high_to_low,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,high_to_low,1212,20,2,1,2,0.64583333,0.16666667,0.16666667,19,4,2,5384,1
primary,prose_summary,high_to_low,1212,20,2,1,2,0.70833333,0.58333333,0.33333333,16,4,3,5264,0
primary,receipt_ancestry,high_to_low,1212,20,2,1,2,0.83333333,1.0,1.0,10,3,2,5654,1
primary,fresh_ground_truth,alternating,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,alternating,1212,20,5,1,5,0.66666667,0.58333333,0.33333333,16,4,2,5300,1
primary,prose_summary,alternating,1212,20,5,1,5,0.54166667,0.33333333,0.16666667,11,4,3,5264,0
primary,receipt_ancestry,alternating,1212,20,5,1,5,0.875,0.91666667,0.83333333,12,4,3,5651,1
primary,fresh_ground_truth,randomized,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,randomized,1212,20,3,1,3,0.72916667,0.41666667,0.16666667,18,4,2,5321,1
primary,prose_summary,randomized,1212,20,3,1,3,0.6875,0.41666667,0.16666667,13,4,3,5264,0
primary,receipt_ancestry,randomized,1212,20,3,1,3,0.83333333,0.83333333,0.66666667,17,4,3,5651,1
primary,fresh_ground_truth,low_to_high,1313,20,16,1,16,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,low_to_high,1313,20,7,1,7,0.58333333,0.25,0.33333333,10,3,0,5305,1
primary,prose_summary,low_to_high,1313,20,5,1,5,0.33333333,0.25,0.16666667,11,4,0,5324,1
primary,receipt_ancestry,low_to_high,1313,20,14,1,14,0.875,0.91666667,1.0,6,2,1,5691,1
primary,fresh_ground_truth,high_to_low,1313,20,3,1,3,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,high_to_low,1313,20,11,1,11,0.70833333,0.16666667,0.16666667,10,2,0,5484,1
primary,prose_summary,high_to_low,1313,20,3,1,3,0.33333333,0.08333333,0.16666667,18,4,0,5324,0
primary,receipt_ancestry,high_to_low,1313,20,8,1,8,0.75,0.25,0.83333333,7,2,1,5714,1
primary,fresh_ground_truth,alternating,1313,20,9,1,9,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,alternating,1313,20,6,1,6,0.45833333,0.16666667,0.16666667,15,3,0,5430,1
primary,prose_summary,alternating,1313,20,3,1,3,0.33333333,0.16666667,0.16666667,17,4,0,5324,1
primary,receipt_ancestry,alternating,1313,20,10,1,10,0.625,0.41666667,1.0,5,3,2,5718,1
primary,fresh_ground_truth,randomized,1313,20,19,1,19,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,randomized,1313,20,10,1,10,0.58333333,0.16666667,0.16666667,9,3,0,5362,1
primary,prose_summary,randomized,1313,20,2,1,2,0.39583333,0.25,0.0,14,4,0,5324,1
primary,receipt_ancestry,randomized,1313,20,13,1,13,0.75,0.66666667,1.0,7,3,2,5708,1
